,Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng
475061,Via Felice Casati 18 Central Station 20124 Milan Italy,174,12/5/2016,8.4,Best Western Plus Hotel Felice Casati, Netherlands , District around is not nice but not that far from the center ,14,1817, Polite and gentle stuff clean and nice hotel,9,5,7.5,"[' Leisure trip ', ' Group ', ' Double Room ', ' Stayed 2 nights ']",241 day,45.4787357,9.2041131
325167,Fulham Road Stamford Bridge Hammersmith and Fulham London SW6 1HS United Kingdom,525,8/29/2016,8.2,Millennium Copthorne Hotels at Chelsea Football Club, United Kingdom , Price of breakfast not included Shower head disgusting not sure it has ever been cleaned hence poor water pressure Air conditioning not powerful enough even after repair Hotel has not responded to the issues I raised in their Satisfaction Survey Expensive for what you get ,47,1842, Good breakfast Friendly helpful staff Close to tube station Air conditioning repaired without delay ,16,36,6.3,"[' Leisure trip ', ' Solo traveler ', ' Standard Twin Room ', ' Stayed 2 nights ']",339 day,51.481663,-0.1909565
501884,Webgasse 26 06 Mariahilf 1060 Vienna Austria,88,7/11/2017,8.8,Austria Trend Hotel Anatol Wien, Australia ,No Negative,0,1324, This is our 3rd stay in 4 years and they finally have air conditioning in the rooms a god send as Wien can get hot and muggy Staff were always available to help out with questions taxi bookings restauarnt recommendations etc ,43,19,8.3,"[' Leisure trip ', ' Group ', ' Classic Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",23 days,48.1945774,16.346356
35358,11 Thurloe Place Knightsbridge Kensington and Chelsea London SW7 2RS United Kingdom,421,8/21/2015,8.5,The Rembrandt, United Kingdom , Room was too small and the staff were unhelpful,10,1802, Location and breakfast,4,1,6.7,"[' Leisure trip ', ' Group ', ' Classic Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",713 day,51.4959227,-0.1702917
228675,65 73 Shaftesbury Avenue Westminster Borough London W1D 6EX United Kingdom,531,1/16/2017,9.0,The Piccadilly London West End, United Kingdom ,No Negative,0,2298, Excellent location,3,1,10.0,"[' Leisure trip ', ' Couple ', ' Premier Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",199 day,51.5121957,-0.1318384
361577,Lakeside Way Brent London HA9 0BU United Kingdom,1427,8/30/2016,8.8,Hilton London Wembley, United Kingdom , Bedding was changed which is great but the clean bedding that was put on was stained other than that no problems ,23,4305, Bedroom very comfortable and excellent location for Wembley stadium,10,5,8.3,"[' Leisure trip ', ' Couple ', ' Deluxe King Room with Stadium View ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",338 day,51.5576962,-0.2835263
301224,Coram Street Camden London WC1N 1HT United Kingdom,709,6/9/2016,8.2,Holiday Inn London Bloomsbury, United Kingdom , Breakfast was a disappointment The hot buffet had several empty dishes leaving only 5 items to choose from When asked how long an item would be the chef said 5 minutes however following return the dish was refilled with another item that was a duplicate No glasses for juice again I had to ask for a glass which took several minutes ,63,2995, Perfect location 100 yards from underground Great value for money room was of a good size for London ,20,6,10.0,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",420 day,51.5241248,-0.1258066
462970,Strand Westminster Borough London WC2R 0EU United Kingdom,315,6/26/2016,9.4,The Savoy, United Kingdom , Unfortunately due to flooding from heavy rain the night before our stay the hot water pumps were damaged and therefore for our 24 hour stay no hot water was available throughout the entire hotel,35,1021, Ambience location excellent Lunch in Kaspar s was very good Room bed very comfortable ,16,5,9.6,"[' Leisure trip ', ' Couple ', ' Luxury King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",403 day,51.5111922,-0.1194006
60936,153 Boulevard Saint Germain 6th arr 75006 Paris France,86,8/13/2016,8.6,Au Manoir Saint Germain, Australia ,No Negative,0,616, Management and staff were extremely kind and polite Any time spent in Paris makes you brush up on your manners Our room was spacious and quiet even though overlooking the main street across from Cafe Flores Great as a base to explore the great St Germain neighbourhood A charming French hotel The cafes nearby are great for breakfast and historic Brasserie Lipp is right next door having dinner there was an experience the room just gets buzzier as the night progresses Waiters who are so professional they love their work and the restaurant St Germain is a wonderful area ,101,14,8.8,"[' Leisure trip ', ' Couple ', ' Deluxe Room ', ' Stayed 4 nights ']",355 day,48.853688,2.3322667
228788,65 73 Shaftesbury Avenue Westminster Borough London W1D 6EX United Kingdom,531,10/10/2016,9.0,The Piccadilly London West End, Saudi Arabia , room service,3,2298, facility is nicely equipped staff are very friendly and cooperative,11,28,9.2,"[' Leisure trip ', ' Couple ', ' Premier Double Room ', ' Stayed 1 night ']",297 day,51.5121957,-0.1318384
73781,18 21 Charterhouse Square Islington London EC1M 6AH United Kingdom,431,6/13/2016,8.7,Malmaison London, United Kingdom ,No Negative,0,1374, Good sized bathroom with excellent power shower Friendly helpful and efficient reception staff,14,6,8.8,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",416 day,51.520943,-0.1004581
332950,Gran Via de les Corts Catalanes 700 Eixample 08010 Barcelona Spain,195,5/24/2016,8.7,Hotel Casa Bonay, United States of America ,No Negative,0,1416, This is a beautiful property with so many fun unique features Highly recommend ,15,9,9.2,"[' Leisure trip ', ' Solo traveler ', ' Small Double Room with Terrace ', ' Stayed 1 night ', ' Submitted from a mobile device ']",436 day,41.3935967,2.1742718
369465,Leidsekade 97 Amsterdam City Center 1017 PN Amsterdam Netherlands,601,3/18/2016,8.5,Hampshire Hotel Amsterdam American, Turkey , facility is quite old and price performance was poor Charged me citytax for everyday we stayed breakfast was pretty average for price and service was soo poor wait for cofee and omlet for so long,36,4032, Best Location Ever,4,12,5.4,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 3 nights ']",503 day,52.363889,4.881302
495509,Viale Isonzo 2 Porta Romana 20135 Milan Italy,43,9/6/2016,8.1,Best Western Hotel Major, United Kingdom , Breakfast was very poor Only had once ,9,1107, Location Cleanliness,3,4,7.9,"[' Leisure trip ', ' Family with young children ', ' Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",331 day,45.4472099,9.2090967
429132,Rennweg 99 Rinnboeckstrasse 1 03 Landstra e 1030 Vienna Austria,207,8/12/2016,8.7,Austria Trend Hotel Doppio Wien, Bahrain , The hotel is far from the city centre but it was okay for us because we had a car ,21,3010, Hotel cleanliness and the staff were so friendly ,10,10,9.2,"[' Leisure trip ', ' Group ', ' Classic Twin Room ', ' Stayed 1 night ']",356 day,48.1854312,16.404884
303471,Corso Di Porta Nuova 1 Milan City Center 20121 Milan Italy,84,4/25/2017,9.3,Palazzo Parigi Hotel Grand Spa Milano, United Kingdom ,No Negative,0,534, Breakfast was fantastic Spa facilities great and the staff could not be more helpful An amazing stay ,19,3,10.0,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 3 nights ']",100 day,45.473348,9.1910733
394900,Pallars 128 130 Sant Mart 08018 Barcelona Spain,252,2/9/2016,7.9,Sall s Hotel Pere IV, Portugal , They don t have toilet brush so for 2 friends it s disgusting We were two guys and the welcome pack was for man and woman They don t know how to do a bed so it has lot of wrinkles The air conditioning just work to warm the room never to put it cold and the extraction in the bathroom is not working The dryer was cracked but working The sauna steam and other commodities are really small Not all the team speak Spanish at least I complained to them about the things above and when I came back no one told me if there is something fixed or not The cards doesn t have the room number so you need to have it in your mind So for a 4 star hotel it seems like 2 star there are hostels better than this hotel and airbnb s as well ,153,3130, It s near by the metro so it s very easy t go everywhere and some people from the team are very kind and knows how to deal with a customer The breakfast was very complete and good ,40,2,5.4,"[' Leisure trip ', ' Group ', ' Double or Twin Room with Spa Access ', ' Stayed 3 nights ']",541 day,41.3969273,2.192267
420231,Prins Hendrikkade 59 72 Amsterdam City Center 1012 AD Amsterdam Netherlands,493,12/20/2016,8.6,NH Collection Amsterdam Barbizon Palace, Croatia ,No Negative,0,2865, Excellent conditions throughout the stay,6,1,9.6,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 3 nights ']",226 day,52.3764175,4.9002201
419105,Prins Hendrikkade 33 Amsterdam City Center 1012 TM Amsterdam Netherlands,482,6/5/2016,9.0,art otel Amsterdam, Spain , Price is high on Amsterdam hotel market in general I believe 150 is reasonable and I d of stayed longer Taxis are super expensive In total is a pricey visit ,32,3158,No Positive,0,7,9.6,"[' Business trip ', ' Solo traveler ', ' Art King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",424 day,52.377743,4.897057
290986,Bryanston Street Marble Arch Westminster Borough London W1H 7EH United Kingdom,908,9/27/2016,8.5,Amba Hotel Marble Arch, Australia ,No Negative,0,3980, Great location helpful staff and the room was very clean and comfortable,13,1,10.0,"[' Leisure trip ', ' Family with young children ', ' Standard Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",310 day,51.5144004,-0.1565506
391995,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,7/14/2016,8.4,DoubleTree by Hilton Amsterdam Centraal Station, Switzerland , I resived a room for invalid and after 3 day s the staff changed for me ,18,3911,No Positive,0,13,6.3,"[' Leisure trip ', ' Solo traveler ', ' Queen Room with Mobility Access ', ' Stayed 7 nights ']",385 day,52.376752,4.904618
60777,152 Cricklewood Broadway Cricklewood London NW2 3ED United Kingdom,512,2/23/2016,8.0,Clayton Crown Hotel London, United Kingdom , The bar area often had tables that had not been cleared and were dirty ,16,2491, Very comfortable beds ,5,9,7.1,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ']",527 day,51.5561548,-0.2141824
496728,Viale Sarca 336 Bicocca Zara 20125 Milan Italy,563,1/30/2017,8.3,Hotel degli Arcimboldi, Nigeria , There was no electric kettle and provisions for making tea or coffee in the room,16,10842, Good Breakfast,3,2,8.3,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 2 nights ']",185 day,45.5257221,9.2150033
36487,113 Lambeth Rd Lambeth London SE1 7LS United Kingdom,176,10/15/2015,8.2,Novotel London Waterloo, Gibraltar , staff at time had a lot of problems when booking in extra nights cleaners didn t seem to be very good plus we found a baby cockroach in our room ,32,1047, very nicely decorated,4,4,5.4,"[' Family with older children ', ' Superior Queen Room with Sofa ', ' Stayed 5 nights ']",658 day,51.4948465,-0.1187481
313008,Desider Friedmann Platz 2 01 Innere Stadt 1010 Vienna Austria,56,9/18/2016,8.8,Mercure Vienna First, Canada ,No Negative,0,516, Staff went out of their way to make our trip wonderful Fabulous location Great brekky ,17,3,10.0,"[' Leisure trip ', ' Group ', ' Privilege Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",319 day,48.2114567,16.3738677
238847,7 Pepys Street City of London London EC3N 4AF United Kingdom,1936,2/2/2016,8.7,DoubleTree by Hilton Hotel London Tower of London, United Kingdom ,No Negative,0,7491, Excellent location to get around and a excellent stay will be returning,13,3,10.0,"[' Leisure trip ', ' Couple ', ' King Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",548 day,51.5108412,-0.0780581
217800,59 Leinster Square Kensington and Chelsea London W2 4PS United Kingdom,337,5/31/2016,7.6,New Linden Hotel, United Kingdom , The room was really small,6,2820,No Positive,0,28,6.7,"[' Leisure trip ', ' Group ', ' 2 rooms ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",429 day,51.5133832,-0.1926617
84077,1a Lexham Gardens Kensington and Chelsea London W8 5JJ United Kingdom,222,5/31/2017,7.5,Mercure London Kensington Hotel, United Kingdom , Distance to tube,4,1016, Good breakfast except fried eggs poor hash brown poor toast maker dangerous mushrooms unusually good,16,1,6.7,"[' Leisure trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",64 days,51.4950098,-0.1906195
162281,36 Great st Helens City of London London EC3A 6AP United Kingdom,264,7/30/2017,7.4,Great St Helen Hotel, United Kingdom , The room was one of the smallest I have ever had Everything small bed pillows towels No room for a chair so nowhere to sit except on the bed with knees almost against the wall The shower room was really tiny Not even roomy enough to dry ourselves after showering Storage space very small also ,57,1328, Everything was very clean We had a good TV free wifi tea and coffee and plenty of free snacks in the fridge though no breakfast available The shower was hot and powerful The location was handy for Liverpool Street Station and the Tower Pleasant staff ,47,7,7.5,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ']",4 days,51.5149583,-0.0823869
304571,Corso Garibaldi 84 Milan City Center 20121 Milan Italy,176,11/10/2015,8.2,Carlyle Brera Hotel, Mexico , the bed was composed by two single beds making a little uncomfortable ,14,1969, Location and the staff was extraordinary ,8,21,9.2,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ']",632 day,45.4769923,9.1844899
279881,Avenida Roma 2 4 Sants Montju c 08014 Barcelona Spain,215,8/16/2016,8.5,Gran Hotel Torre Catalunya, United Kingdom , Had to request tea and milk as had not been stocked up but it still didn t arrive until following day,22,1671, Beautiful hotel in great location Great views from higher floors,11,2,9.6,"[' Leisure trip ', ' Couple ', ' Junior Suite with Spa Access ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",352 day,41.3795572,2.1425457
379901,Molenwerf 1 1014 AG Amsterdam Netherlands,914,2/16/2017,8.5,Golden Tulip Amsterdam West, United Kingdom , Could of given some travel guides and English information to help us round or even bus routes to help,20,7586, Very nice and clean room friendly staff and comfortable stay ,12,1,7.1,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",168 day,52.385601,4.8470597
266434,Aldwych Westminster Borough London WC2B 4DD United Kingdom,409,12/19/2016,8.4,The Waldorf Hilton, Switzerland , Exec lounge could have been cleaner in the food and drinks area ,14,1479, Friendly over delivering staff Very helpful doormen Useful to have continental plug sockets in the room ,18,3,8.8,"[' Leisure trip ', ' Family with young children ', ' Executive King Room with Lounge Access ', ' Stayed 1 night ', ' Submitted from a mobile device ']",227 day,51.5131979,-0.1174504
180677,40 trinity square City of London London EC3N 4DJ United Kingdom,832,6/9/2017,9.1,citizenM Tower of London, United States of America , Would have liked more of a private bathroom setting and wash clothes for the shower The fire alarm went off at 2 30AM and there was no announcement of false alarm ,33,4672, Staff was very friendly and helpful ,8,1,8.8,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 5 nights ']",55 days,51.510237,-0.0764428
396883,Pas de Sota Muralla 9 Ciutat Vella 08003 Barcelona Spain,146,10/27/2016,9.2,H10 Port Vell 4 Sup, United Kingdom , The roof terrace being let out to corporate customers and being 75 or 100 shut of to normal guest s ,22,1261, We enjoyed the hole experience from when we entered the hotel to when we left staff great clean and very tidy and location was great we did not eat there for breakfast or dinner as there are some great bar s cafes just outside where you can sit outside and people watch The one thing about this hotel was one reason for booking it is that it has a roof terrace with plunge pool and bar which turned out to be a disaster as most of our stay it was closed to general guest s as the management had let it out to company hospitality booking s gave us the impression that the normal guest mean s nothing to H10,121,2,7.9,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 2 nights ']",280 day,41.3815625,2.1838458
303313,Corso Concordia 1 Milan City Center 20129 Milan Italy,159,1/28/2017,9.0,Ch teau Monfort Relais Ch teaux, Switzerland ,No Negative,0,1053, Great Restaurant ,4,7,10.0,"[' Leisure trip ', ' Family with young children ', ' Superior Double or Twin Room ', ' Stayed 1 night ']",187 day,45.4682358,9.2073799
398796,Passeig Colom 12 Ciutat Vella 08002 Barcelona Spain,156,6/1/2017,8.9,Duquesa de Cardona, United States of America ,No Negative,0,904, Fantastic location and great roof deck,7,4,10.0,"[' Leisure trip ', ' Group ', ' Superior Quadruple Room With Balcony ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",63 days,41.3798658,2.1805271
320210,Euston Road Camden London NW1 2AR United Kingdom,522,7/26/2017,8.8,St Pancras Renaissance Hotel London, United Kingdom , Booked table in Booking Office Restaurant and Bar where we were very disappointed with the service Took 15 mins before a waitress came to the table Ordered bottle of wine which then took another 10 mins to arrive Food order got mixed up by the waitress In all a very disappointing experience ,54,2058, Location excellent Rooms clean and comfortable ,8,5,9.2,"[' Leisure trip ', ' Couple ', ' Deluxe Room Barlow Wing ', ' Stayed 2 nights ']",8 days,51.5267769,-0.1324905
338778,Harmoniegasse 5 7 09 Alsergrund 1090 Vienna Austria,101,6/6/2016,9.2,The Harmonie Vienna, United Kingdom ,No Negative,0,1083, The complimentary tea and cakes in the afternoon was unexpected The hotel is in a quiet location exceptionally clean and the staff are very friendly ,27,3,8.8,"[' Leisure trip ', ' Couple ', ' Classic Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",423 day,48.2199427,16.3598984
117165,230 A Mile End Road Tower Hamlets London E1 4LJ United Kingdom,44,9/9/2016,7.4,London Suites, Netherlands , To their credit they made an effort to make the place hospitable to guests but without truly seeing the room from the guest s point of view Some of the issues included there were some pretty blinds in the window which did nothing to block out the blinding street lamp outside that was aimed directly over the head of the bed The sink was too flat against the wall and had a shelf over it Thus I had to very awkwardly brush my teeth over the sink because there was no space to properly do this and hit my head on the shelf several times because of this Also there is a very bright fluorescent light in the room but if you want to read in the evening then there is no lamp or less harsh light suitable for reading unless if you wanted to use the street lamp which shone directly into the bedroom Location was quite okay except for the fact that the room was located over quite possibly one of the busiest streets in the night in London There were non stop motorists which I could get over but there were also non stop emergency services driving past flashing lights siren sounds etc and that went on through the night ,215,259, It was close to the underground a large number of shops and restaurants and the location at which I needed to be ,24,3,5.4,"[' Business trip ', ' Solo traveler ', ' Studio ', ' Stayed 3 nights ']",328 day,51.5215508,-0.0469238
2728,1 3 Queens Garden Westminster Borough London W2 3BA United Kingdom,1058,10/16/2015,7.7,The Park Grand London Paddington, Bahrain , I was setting in the Reception Reception staff they are not respecting the customer they are saying to some customer at 2 clock you can get the key and other giving them the key When I spoke to her she said we have categories I told her I know you have categories when first customer came I kept quite because they are 2 but when you allow for other single customer to get the key that mean there is no management and no respect for customer and that not fair she didn t give me any answer just said wait 15 min it will reach 2 and you will get the key after 5 min asking me to get the they how she arranged they faster The reception is the front of the hotel if the employee s behavior is abusive the owner will be looses My evidence hotel camera ,152,4380,No Positive,0,5,4.2,"[' Leisure trip ', ' Couple ', ' Compact Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",657 day,51.5142184,-0.1809032
62758,16 London Street Paddington Westminster Borough London W2 1HL United Kingdom,114,9/17/2015,8.7,Hotel Indigo London Paddington, United States of America ,No Negative,0,602, Very clean very modern upscale boutique hotel,8,2,10.0,"[' Leisure trip ', ' Couple ', ' Twin Room Non Smoking ', ' Stayed 1 night ']",686 day,51.5150534,-0.1739974
84949,2 24 Kensington High St Kensington and Chelsea London W8 4PT United Kingdom,617,5/3/2016,8.8,Royal Garden Hotel, United Kingdom , Very small room pictures on website very misleading the size etc,12,2213, Location,2,9,7.5,"[' Leisure trip ', ' Group ', ' Garden Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",457 day,51.5027022,-0.1882164
444224,Scarsdale Place Kensington Kensington and Chelsea London W8 5SY United Kingdom,1831,11/19/2015,8.1,Copthorne Tara Hotel London Kensington, United Kingdom , Wifi was too week to use effectively ,9,7105, Location was great and the staff couldn t have been more helpful ,14,4,9.2,"[' Business trip ', ' Solo traveler ', ' Superior Plus Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",623 day,51.499046,-0.1917073
256887,88 Holland Road Kensington and Chelsea London W14 8BN United Kingdom,197,7/26/2017,8.4,88 Studios, United Kingdom , Room clean need to be improved The toilet door was too transparent almost can see what people do in there ,22,955, Service from reception was nice The room is kind of big House is new and modern ,18,10,6.7,"[' Leisure trip ', ' Family with young children ', ' Triple Studio ', ' Stayed 3 nights ']",8 days,51.4992789,-0.2090733
114563,225 High Street Kensington Kensington and Chelsea London W8 6SA United Kingdom,140,7/16/2017,7.4,Best Western Seraphine Kensington Olympia, United Arab Emirates , Very dirty Cleaners don t clean Walls too thin you can hear people having sex like they are with you in the same bed Staff are very unhelpful,29,895, Size of room,4,2,3.3,"[' Leisure trip ', ' Solo traveler ', ' Executive Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",18 days,51.4992791,-0.1973593
331510,Gran Via de les Corts Catalanes 644 Eixample 08007 Barcelona Spain,257,7/24/2016,9.2,Catalonia Passeig de Gr cia 4 Sup, United Kingdom , Nothing bad to say ,6,2116, The room was lovely and the beds extremely comfortable It was very central being only 5 minutes walk from La Ramblas but what stood out the most where the staff Everyone was very helpful and very welcoming However I have to say the barman Dani excelled at his job and he makes a great Mojito Hope to go back again one day ,64,2,9.6,"[' Leisure trip ', ' Family with older children ', ' Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",375 day,41.3901396,2.1696699
406320,Piazza Duca D Aosta 9 Central Station 20124 Milan Italy,185,2/14/2016,9.4,Excelsior Hotel Gallia Luxury Collection Hotel, Romania ,No Negative,0,1345, Nice location very friendly and useful staff wonderful design up to date technologies very quiet area ,18,14,10.0,"[' Leisure trip ', ' Family with older children ', ' 2 rooms ', ' Stayed 3 nights ']",536 day,45.4857027,9.2020127
250392,8 rue de Verneuil 7th arr 75007 Paris France,36,6/15/2017,8.7,Hotel Verneuil Saint Germain, United Kingdom , BookedTwin bedded room there was no room to separate beds appears to be a single room with extra bed View was the lift shaft Bar was non existent just a cupboard Breakfast was offered as a choice to have in room but no space to eat e g One chair no table No central lights so very dark and gloomy Very overpriced Tip stay on the other side of the seine as more is going on and wherever you are you can see the Eiffel Tower ,88,165, Clenliness,2,2,5.0,"[' Leisure trip ', ' Group ', ' Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",49 days,48.8573706,2.3314669
472788,Via dell Orso 7 Milan City Center 20121 Milan Italy,134,7/27/2017,8.8,Hotel Milano Scala, United Kingdom , Nothing,2,1274, Great location relaxed atmosphere with very attentive staff dedicated concierge and high quality rooms The roof bar was amazing for sitting out in the evening and providing a great roof top view of the city ,37,2,9.6,"[' Leisure trip ', ' Couple ', ' Classic Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",7 days,45.4689376,9.1868891
250880,8 rue Laferriere 9th arr 75009 Paris France,42,8/24/2015,8.7,H tel Arvor Saint Georges, Morocco ,No Negative,0,493, Staff Location and comfort,5,3,9.6,"[' Business trip ', ' Couple ', ' Standard Double Room ', ' Stayed 5 nights ']",710 day,48.8785454,2.3384866
496250,Viale Sarca 336 Bicocca Zara 20125 Milan Italy,563,12/14/2016,8.3,Hotel degli Arcimboldi, Bulgaria , A bit out from the center of Milano but with very near metrostation which makes travel easy ,19,10842, Excellent hotel with extraordinary quality for this price Helpful and professional staff clean rooms nice atmosphere ,18,9,9.2,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ']",232 day,45.5257221,9.2150033
252428,81 103 Euston Street Camden London NW1 2EZ United Kingdom,556,3/14/2017,8.0,TheWesley, Ireland , Nothing ,3,2347, Everything The staff location bed It was perfect Bar staff were great craic everyone made us feel very welcome ,21,3,10.0,"[' Leisure trip ', ' Group ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",142 day,51.5265353,-0.1361682
353230,K rntner Ring 9 01 Innere Stadt 1010 Vienna Austria,165,1/24/2016,9.0,Grand Hotel Wien, Oman , Almost nothing,3,1375, Friendly staff great location very comfortable,7,23,8.3,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",557 day,48.2021105,16.3720841
141044,30 Leinster Gardens Bayswater Westminster Borough London W2 3AN United Kingdom,1198,3/16/2017,8.5,Blakemore Hyde Park, Malaysia , Some attention needed to ensure the rooms are in fully functional the thermostat and kettle were not working in my first room and the bathroom fixtures need some repair on leaking joints and blocked shower head The ground floor twin room was spacious but being located next to automatic door which opened regularly caused periodical banging sounds onto the room door ,63,6596, This is my third stay over the last 3 years as the location is very convenient and the comfort quality of rooms have been consistent The group of staff during this recent stay were the most friendly and helpful batch and they were able to offer me a change of room to suit my needs arrange the transfer of my luggage The breakfast offers a good variety of Continental and hot dishes restaurant staff were very efficient and attentive ,81,11,8.3,"[' Leisure trip ', ' Family with young children ', ' Club Double Room ', ' Stayed 3 nights ']",140 day,51.5129736,-0.1837431
313484,Dijsselhofplantsoen 7 Oud Zuid 1077 BJ Amsterdam Netherlands,309,10/4/2016,8.1,Bilderberg Garden Hotel, United Kingdom , breakfast was poor but the mouse we saw in the dining room seemed to like it ,18,2270,No Positive,0,7,6.7,"[' Leisure trip ', ' Group ', ' Deluxe Double or Twin Room ', ' Stayed 2 nights ']",303 day,52.3511447,4.8740764
231471,68 86 Cromwell Road Kensington Kensington and Chelsea London SW7 5BT United Kingdom,514,5/8/2016,8.2,Radisson Blu Edwardian Vanderbilt, United Kingdom , Room very small Bathroom very small Romm very hot Pillows uncomfortable,12,2665, Staff location cleanliness ness,5,1,8.5,"[' Leisure trip ', ' Family with older children ', ' Standard Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",452 day,51.4953691,-0.1818966
208349,52 Chiswell Street City of London London EC1Y 4SD United Kingdom,704,4/19/2016,8.8,The Montcalm At Brewery London City, United Kingdom , Really small bedroom everything was crowded not even space for small suitcase Lots of walking around complicated buildings Lots of steps ,23,2617, Comfy bed Powerful shower Complimentary water ,8,9,7.9,"[' Business trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",471 day,51.5208155,-0.0915319
42194,128 King Henry s Road Camden London NW3 3ST United Kingdom,397,12/6/2015,8.3,London Marriott Hotel Regents Park, United Kingdom , A few things getting a bit tired,8,1640, Overall very good a couple of things a bit tired had to go two floors to find a working ice machine Breakfast excellent Location brilliant for what we wanted Had requested a quiet room but given one on the road but wasn t too bad ,47,2,8.8,"[' Leisure trip ', ' Couple ', ' Deluxe King with Balcony ', ' Stayed 1 night ', ' Submitted from a mobile device ']",606 day,51.5421476,-0.1703073
420,1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom,244,6/7/2017,8.5,K K Hotel George, United States of America , Not once during our four day stay including when we arrived to check in did any staff member speak to us before being spoken to first We were the only guests in the reception area when we checked in Not one single welcome good morning or hello in four days And we were not disgruntled or asking for any special requirements It was a very nice property but that indifferent attitude was a striking difference from every other small hotel and B B in which we stayed on this three week UK vacation We would not recommend K K Hotel George nor would we return ourselves ,108,1831, Small but modern and well furnished room Nice linens and a superior small bathroom ,16,3,7.1,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",57 days,51.4918878,-0.1949706
476829,Via Giacomo Watt 13 Famagosta 20143 Milan Italy,85,4/21/2017,7.6,IH Hotels Milano Watt 13, Germany , The smell in the room Long time needed to get the hot water running ,16,2122, Accomodation perfect esp the bed was good Quality The nice bars opposite of Hotel The breakfast was extra great ,21,6,8.8,"[' Business trip ', ' Group ', ' Classic Double Room ', ' Stayed 1 night ']",104 day,45.443791,9.152947
191834,45 Prescot Street City of London London E1 8GP United Kingdom,531,4/14/2017,8.7,Grange Tower Bridge Hotel, United States of America ,No Negative,0,1668, 3am We had ordered food but the delivery didn t bring utensils Room service brought up some forks for us and everything was right again Great service ,29,3,9.2,"[' Leisure trip ', ' Group ', ' Superior Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",111 day,51.5115509,-0.0714919
